,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
38,38,9037,A1_11369,HHA1_11369,103.0,F,A1_11369001,70.0,74.0,M,2.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,72.0,2
39,39,9038,A1_11369,HHA1_11369,103.0,F,A1_11369002,,,,2.0,1.0,2.0,2020-03-26,4,26,3,20,,14.0,2
40,40,9039,A1_11370,HHA1_11370,64.0,F,A1_11370001,65.0,69.0,F,1.0,5.0,2.0,2020-03-27,5,27,3,20,4.0,69.0,2
41,41,9040,A1_11370,HHA1_11370,64.0,F,A1_11370002,,,,2.0,1.0,2.0,2020-03-27,5,27,3,20,,38.0,2
42,42,9041,A1_11371,HHA1_11371,21.0,F,A1_11371001,45.0,54.0,F,2.0,4.0,5.0,2020-03-27,5,27,3,20,9.0,47.0,5
43,43,9042,A1_11371,HHA1_11371,21.0,F,A1_11371002,55.0,64.0,M,2.0,4.0,5.0,2020-03-27,5,27,3,20,9.0,64.0,5
44,44,9043,A1_11371,HHA1_11371,21.0,F,A1_11371003,25.0,34.0,F,2.0,4.0,5.0,2020-03-27,5,27,3,20,9.0,26.0,5
45,45,9044,A1_11371,HHA1_11371,21.0,F,A1_11371004,10.0,14.0,M,2.0,4.0,5.0,2020-03-27,5,27,3,20,4.0,12.0,5
46,46,9045,A1_11371,HHA1_11371,21.0,F,A1_11371005,,,,2.0,4.0,5.0,2020-03-27,5,27,3,20,,28.0,5
47,47,9046,A1_11372,HHA1_11372,61.0,F,A1_11372001,70.0,74.0,M,1.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,72.0,4
48,48,9047,A1_11372,HHA1_11372,61.0,F,A1_11372002,70.0,74.0,M,1.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,70.0,4
49,49,9048,A1_11372,HHA1_11372,61.0,F,A1_11372003,35.0,44.0,F,2.0,2.0,2.0,2020-03-26,4,26,3,20,9.0,42.0,4
50,50,9049,A1_11372,HHA1_11372,61.0,F,A1_11372004,25.0,34.0,M,2.0,1.0,2.0,2020-03-26,4,26,3,20,9.0,26.0,4
51,51,9050,A1_11373,HHA1_11373,43.0,M,,,,,,,2.0,2020-03-27,5,27,3,20,,,0
52,52,9051,A1_11374,HHA1_11374,19.0,F,A1_11374001,20.0,24.0,F,1.0,5.0,3.0,2020-03-27,5,27,3,20,4.0,21.0,2
53,53,9052,A1_11374,HHA1_11374,19.0,F,A1_11374002,20.0,24.0,M,1.0,5.0,3.0,2020-03-27,5,27,3,20,4.0,24.0,2
54,54,9053,A1_11375,HHA1_11375,18.0,F,A1_11375001,20.0,24.0,F,1.0,5.0,2.0,2020-03-26,4,26,3,20,4.0,20.0,1
55,55,9054,A1_11376,HHA1_11376,18.0,F,A1_11376001,45.0,54.0,M,1.0,4.0,5.0,2020-03-28,6,28,3,20,9.0,50.0,6
56,56,9055,A1_11376,HHA1_11376,18.0,F,A1_11376002,15.0,19.0,F,1.0,5.0,5.0,2020-03-28,6,28,3,20,4.0,16.0,6
57,57,9056,A1_11376,HHA1_11376,18.0,F,A1_11376003,45.0,54.0,F,1.0,5.0,5.0,2020-03-28,6,28,3,20,9.0,46.0,6
58,58,9057,A1_11376,HHA1_11376,18.0,F,A1_11376004,15.0,19.0,M,1.0,5.0,5.0,2020-03-28,6,28,3,20,4.0,15.0,6
59,59,9058,A1_11376,HHA1_11376,18.0,F,A1_11376005,55.0,64.0,F,2.0,3.0,5.0,2020-03-28,6,28,3,20,9.0,60.0,6
60,60,9059,A1_11376,HHA1_11376,18.0,F,A1_11376006,45.0,54.0,F,1.0,2.0,5.0,2020-03-28,6,28,3,20,9.0,50.0,6
61,61,9060,A1_11377,HHA1_11377,37.0,F,A1_11377001,65.0,69.0,F,2.0,5.0,1.0,2020-03-27,5,27,3,20,4.0,65.0,1
62,62,9061,A1_11378,HHA1_11378,31.0,M,A1_11378001,25.0,34.0,F,2.0,4.0,4.0,2020-03-26,4,26,3,20,9.0,28.0,6
63,63,9062,A1_11378,HHA1_11378,31.0,M,A1_11378002,5.0,9.0,F,2.0,4.0,4.0,2020-03-26,4,26,3,20,4.0,8.0,6
